datetime;Level 101 (m);Level 102 (m);Level 103(m)
25/02/2024;0,6031;0,5934;0,8857
25/02/2024;0,6034;0,5931;0,8859
25/02/2024;0,6034;0,5933;0,886
25/02/2024;0,6026;0,5927;0,8854
25/02/2024;0,6025;0,5923;0,8853
25/02/2024;0,6025;0,5924;0,8853
25/02/2024;0,6022;0,592;0,8846
25/02/2024;0,6016;0,5911;0,8841
25/02/2024;0,6014;0,591;0,8842
25/02/2024;0,6013;0,5904;0,884
25/02/2024;0,6013;0,5904;0,8841
25/02/2024;0,6014;0,5904;0,884
25/02/2024;0,602;0,5911;0,8848
25/02/2024;0,6028;0,5916;0,8858
25/02/2024;0,6029;0,5918;0,886
25/02/2024;0,6027;0,5917;0,8855
25/02/2024;0,6021;0,591;0,8852
25/02/2024;0,6022;0,5911;0,885
25/02/2024;0,6014;0,5902;0,8844
25/02/2024;0,6016;0,5901;0,8845
25/02/2024;0,6014;0,59;0,8843
25/02/2024;0,6011;0,5895;0,8841
25/02/2024;0,6013;0,5891;0,884
25/02/2024;0,6005;0,5886;0,8834
25/02/2024;0,601;0,5884;0,8834
25/02/2024;0,6008;0,5886;0,8837
25/02/2024;0,6008;0,5884;0,8836
25/02/2024;0,6006;0,5881;0,8834
25/02/2024;0,6001;0,5875;0,8833
25/02/2024;0,6012;0,5881;0,8839
25/02/2024;0,6008;0,5882;0,8838
25/02/2024;0,6007;0,5878;0,8836
25/02/2024;0,6002;0,5878;0,8834
25/02/2024;0,6004;0,5877;0,8832
25/02/2024;0,6007;0,5876;0,8835
25/02/2024;0,6002;0,5875;0,8831
25/02/2024;0,6004;0,5877;0,8833
25/02/2024;0,6005;0,5874;0,8833
25/02/2024;0,6011;0,5877;0,8836
25/02/2024;0,6013;0,5886;0,884
25/02/2024;0,6003;0,5878;0,8834
25/02/2024;0,6001;0,5873;0,883
25/02/2024;0,5999;0,5871;0,8828
25/02/2024;0,5997;0,5869;0,8826
25/02/2024;0,5996;0,5868;0,8824
25/02/2024;0,5996;0,5868;0,882
25/02/2024;0,5992;0,5866;0,882
25/02/2024;0,599;0,5858;0,8818
25/02/2024;0,5991;0,5858;0,8816
25/02/2024;0,5982;0,5849;0,8806
25/02/2024;0,5981;0,5847;0,8809
25/02/2024;0,5987;0,5848;0,8811
25/02/2024;0,598;0,5845;0,8807
25/02/2024;0,598;0,5841;0,8806
25/02/2024;0,5978;0,5834;0,8803
